latitude,longitude,timestamp
-18.5027,-25.417,1769255292
-18.1845,-25.1546,1769255298
-17.7922,-24.8331,1769255306
-17.3255,-24.4532,1769255316
-16.9565,-24.1549,1769255323
-16.2663,-23.6014,1769255337
-15.8957,-23.3067,1769255345
-15.2026,-22.7595,1769255359
-14.8554,-22.4875,1769255366
-14.5328,-22.2358,1769255372
-14.185,-21.9656,1769255379
-13.8614,-21.7154,1769255386
-13.3633,-21.3322,1769255396
-13.0141,-21.0649,1769255403
-12.5894,-20.7413,1769255411
-12.0894,-20.3622,1769255421
-11.7391,-20.098,1769255428
-11.3884,-19.8344,1769255435
-11.0375,-19.5715,1769255442
-10.7114,-19.328,1769255449
-10.3599,-19.0664,1769255456
-10.0081,-18.8055,1769255463
-9.631,-18.5267,1769255470
-9.1277,-18.156,1769255481
-8.775,-17.8971,1769255488
-8.4222,-17.6388,1769255495
-8.0943,-17.3994,1769255501
-7.7411,-17.1421,1769255508
-7.337,-16.8485,1769255516
-6.9328,-16.5556,1769255524
-6.604,-16.3179,1769255531
-6.25,-16.0625,1769255538
-5.9211,-15.8256,1769255544
-5.5667,-15.5708,1769255551
-5.1868,-15.2981,1769255559
-4.8321,-15.044,1769255566
-4.5027,-14.8083,1769255572
-4.1478,-14.5547,1769255579
-3.7926,-14.3013,1769255586
-2.7015,-13.5245,1769255608
-2.3461,-13.2719,1769255615
-1.8382,-12.9113,1769255625
-1.5081,-12.677,1769255631
-1.1525,-12.4248,1769255638
-0.6445,-12.0647,1769255648
-0.288,-11.812,1769255655
1.4392,-10.5876,1769255689
1.7948,-10.3354,1769255696
2.2014,-10.0467,1769255705
2.6839,-9.7039,1769255714
3.0903,-9.4147,1769255722
3.4456,-9.1618,1769255729
5.1716,-7.9285,1769255763
5.5263,-7.6739,1769255770
5.881,-7.419,1769255777
6.2355,-7.1636,1769255784
6.5898,-6.9079,1769255791
8.3338,-5.6412,1769255826
8.7124,-5.3642,1769255833
9.0656,-5.1051,1769255840
9.4689,-4.8082,1769255848
9.8215,-4.5479,1769255855
10.3248,-4.1749,1769255865
10.727,-3.8755,1769255873
11.0537,-3.6316,1769255880
11.4054,-3.368,1769255887
12.5079,-2.5356,1769255909
13.0081,-2.1546,1769255919
13.3578,-1.8869,1769255926
13.6822,-1.6375,1769255933
14.0314,-1.368,1769255940
14.3801,-1.0977,1769255947
14.7036,-0.8458,1769255953
15.1013,-0.5346,1769255961
15.4488,-0.2613,1769255968
15.7711,-0.0066,1769255975
16.1179,0.2688,1769255982
16.6126,0.6641,1769255992
16.9583,0.942,1769255999
17.282,1.2038,1769256005
17.75,1.5844,1769256015
18.1923,1.947,1769256024
18.5358,2.2304,1769256031
18.8787,2.5151,1769256038
19.2212,2.8011,1769256045
19.5387,3.0678,1769256051
19.8801,3.3564,1769256058
20.2209,3.6463,1769256065
20.5612,3.9377,1769256072
20.9009,4.2304,1769256079
21.2157,4.5036,1769256086
21.5541,4.7992,1769256093
22.2053,5.3737,1769256106
22.5419,5.674,1769256113
22.8779,5.9758,1769256121
23.2132,6.2793,1769256128
23.5477,6.5844,1769256135
24.2622,7.244,1769256150
24.6418,7.5991,1769256158
24.9731,7.9118,1769256165
25.2802,8.2039,1769256171
25.6336,8.5428,1769256179
27.2931,10.1777,1769256214
